완료,제목,파일명,날짜,시작시간,방송길이,주제,part,상세내용,메모,URL,손님,영도,주식,이미지파일명,카테고리,고유 라이브 ID,금일 방송 횟수,타임라인CSV,소스CSV
False,우오오오옷 뭐냐 이 짐승새1끼들은!!!! [크리스마스기념미연시],20241226,20241226,,05:38:24,,,,,https://chzzk.naver.com/video/4987373,,,,,,,,,
False,크리스마스와 레바,20241225,20241225,,03:27:54,,,,,https://chzzk.naver.com/video/4972929,,,,,,,,,
False,눕,20241224,20241224,,01:11:10,,,,,https://chzzk.naver.com/video/4963572,,,,,,,,,
False,뭐든 그리는 그림방송,20241221,20241221,,03:05:36,,,,,https://chzzk.naver.com/video/4904966,,,,,,,,,
False,버튜버도 살자,20241220,20241220,,00:01:45,,,,,https://chzzk.naver.com/video/4899960,,,,,,,,,
False,룰루랄라 낙서방송 ,20241220,20241220,,04:17:43,,,,,https://chzzk.naver.com/video/4888955,,,,,,,,,
False,버튜버도 살자,20241220,20241220,,00:08:35,,,,,https://chzzk.naver.com/video/4900234,,,,,,,,,
False,버튜버도 살자,20241220,20241220,,00:08:34,,,,,https://chzzk.naver.com/video/4900092,,,,,,,,,
False,버튜버도 살자,20241220,20241220,,00:18:50,,,,,https://chzzk.naver.com/video/4899923,,,,,,,,,
False,품격 넘치는 미야비 그림방송,20241218,20241218,,05:58:12,,,,,https://chzzk.naver.com/video/4872162,,,,,,,,,
False,끼얏호우,20241215,20241215,,01:22:49,,,,,https://chzzk.naver.com/video/4823995,,,,,,,,,
False,끼에ㅔ에ㅔㄱ,20241215,20241215,,00:15:17,,,,,https://chzzk.naver.com/video/4821945,,,,,,,,,
False,할로할로,20241214,20241214,,04:10:26,,,,,https://chzzk.naver.com/video/4810982,,,,,,,,,
False,[광고] 8시 소녀전선2:망명,20241209,20241209,,04:55:32,,,,,https://chzzk.naver.com/video/4721809,,,,,,,,,
False,[광고] 8시 소녀전선2,20241208,20241208,,00:00:35,,,,,https://chzzk.naver.com/video/4716146,,,,,,,,,
False,할로우맨,20241207,20241207,,04:29:16,,,,,https://chzzk.naver.com/video/4691483,,,,,,,,,
False,[토요일그림방송]투표의 중요성 배우기,20241207,20241207,,04:16:06,,,,,https://chzzk.naver.com/video/4704202,,,,,,,,,
False,새벽 연장근무하기,20241201,20241201,,02:45:23,,,,,https://chzzk.naver.com/video/4600501,,,,,,,,,
False,끼에ㅔ에ㅔㄱ,20241201,20241201,,00:59:44,,,,,https://chzzk.naver.com/video/4607855,,,,,,,,,
False,우햐햐햐햐햐,20241201,20241201,,02:56:23,,,,,https://chzzk.naver.com/video/4612547,,,,,,,,,
False,토요일그림방송,20241130,20241130,,04:14:14,,,,,https://chzzk.naver.com/video/4595910,,,,,,,,,
False,헬로헬로,20241130,20241130,,06:18:33,,,,,https://chzzk.naver.com/video/4581701,,,,,,,,,
False,이건 저스트채팅이라는 컨텐츠다,20241124,20241124,,02:30:09,,,,,https://chzzk.naver.com/video/4503413,,,,,,,,,
False,뻗기전에 짧방,20241123,20241123,,00:31:16,,,,,https://chzzk.naver.com/video/4486908,,,,,,,,,
False,던파엠버서더와 던파페스티벌보기,20241122,20241122,,00:37:42,,,,,https://chzzk.naver.com/video/4469383,,,,,,,,,
False,던파엠버서더와 던파페스티벌보기,20241122,20241122,,02:54:57,,,,,https://chzzk.naver.com/video/4473808,,,,,,,,,
False,나 이승권. 2주치일을 2일안에 끝내보겠어,20241117,20241117,,05:17:43,,,,,https://chzzk.naver.com/video/4398599,,,,,,,,,
False,나 이승권. 2주치일을 2일안에 끝내보겠어,20241116,20241116,,08:11:45,,,,,https://chzzk.naver.com/video/4382550,,,,,,,,,
False,공식만화 최종화 콘티 컨펌됐따리[원고하기],20241115,20241115,,06:54:43,,,,,https://chzzk.naver.com/video/4366868,,,,,,,,,
False,일요일의 그림방송,20241111,20241111,,03:03:00,,,,,https://chzzk.naver.com/video/4295655,,,,,,,,,
False,모두가 참여가능한 그림방송!,20241110,20241110,,05:09:04,,,,,https://chzzk.naver.com/video/4281302,,,,,,,,,
False,오늘은 무얼할까?,20241109,20241109,,00:02:19,,,,,https://chzzk.naver.com/video/4264791,,,,,,,,,
False,오늘은 무얼할까?,20241109,20241109,,04:13:45,,,,,https://chzzk.naver.com/video/4264717,,,,,,,,,
False,만화가모드,20241107,20241107,,03:10:24,,,,,https://chzzk.naver.com/video/4245311,,,,,,,,,
False,일요일그림방송,20241103,20241103,,03:46:59,,,,,https://chzzk.naver.com/video/4190900,,,,,,,,,
False,새벽낙서방송,20241103,20241103,,02:46:05,,,,,https://chzzk.naver.com/video/4179958,,,,,,,,,
False,토요일그림방송,20241102,20241102,,03:40:15,,,,,https://chzzk.naver.com/video/4176243,,,,,,,,,
False,만화가모드,20241102,20241102,,07:09:14,,,,,https://chzzk.naver.com/video/4164577,,,,,,,,,
False,일요일그림방송,20241027,20241027,,03:25:45,,,,,https://chzzk.naver.com/video/4089129,,,,,,,,,
False,만화가모드 [던파공식만화그리기],20241027,20241027,,03:22:47,,,,,https://chzzk.naver.com/video/4077696,,,,,,,,,
False,토요일 그림방송,20241026,20241026,,03:22:54,,,,,https://chzzk.naver.com/video/4073040,,,,,,,,,
